Keywords,Date and Time,Source,Event ID,Task Category,LogSource,Level
None,2026-04-22 13:42:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 13:43:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 13:44:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 13:45:46,4624,4624,Print Document,System,Information
None,2026-04-22 13:46:46,4624,4624,User Logoff,System,Information
None,2026-04-22 13:47:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 13:48:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 13:49:46,4624,4624,User Logoff,System,Information
None,2026-04-22 13:50:46,4624,4624,User Logoff,System,Information
None,2026-04-22 13:51:46,4624,4624,Service Control Manager,System,Information
None,2026-04-22 13:52:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 13:53:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 13:54:46,4624,4624,Service Control Manager,System,Information
None,2026-04-22 13:55:46,4624,4624,Print Document,System,Information
None,2026-04-22 13:56:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 13:57:46,4624,4624,Print Document,System,Information
None,2026-04-22 13:58:46,4624,4624,Print Document,System,Information
None,2026-04-22 13:59:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:00:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:01:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:02:46,4624,4624,Print Document,System,Information
None,2026-04-22 14:03:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:04:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:05:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:06:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:07:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:08:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:09:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:10:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:11:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:12:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:13:46,4624,4624,Print Document,System,Information
None,2026-04-22 14:14:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:15:46,4624,4624,Service Control Manager,System,Information
None,2026-04-22 14:16:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:17:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:18:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:19:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:20:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:21:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:22:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:23:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:24:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:25:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:26:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:27:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:28:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:29:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:30:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:31:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:32:46,4624,4624,Update Orchestrator Service,System,Information
